18,male,neutral
20,male,neutral
20,male,neutral
18,male,neutral
20,male,neutral
21,male,neutral
18,male,neutral
19,male,neutral
21,male,neutral
17,male,neutral
18,male,neutral
19,male,neutral
21,male,neutral
23,male,neutral
19,male,neutral
21,male,neutral
21,male,neutral
20,male,neutral
21,male,neutral
20,male,neutral
20,male,neutral
19,male,neutral
24,male,neutral
21,male,neutral
20,male,neutral
18,male,neutral
20,male,neutral
20,male,neutral
19,male,neutral
22,male,neutral
24,male,neutral
20,male,neutral
16,male,neutral
21,male,neutral
22,male,neutral
19,male,neutral
21,male,neutral
22,male,neutral
18,male,neutral
16,male,neutral
20,male,neutral
18,male,neutral
36,male,angry
25,male,neutral
17,male,neutral
21,male,neutral
23,male,neutral
43,male,neutral
38,male,neutral
25,male,neutral
22,male,neutral
34,male,neutral
19,male,neutral
19,male,neutral
22,male,neutral
18,male,neutral
19,male,neutral
20,male,neutral
19,male,neutral
20,male,neutral
20,male,neutral
20,male,neutral
22,male,neutral
20,male,neutral
20,male,neutral
19,male,neutral
27,male,neutral
24,male,neutral
22,male,neutral
19,male,neutral
